Time,League,Match,fhg,shg
12/28/2018 9:30,India I-League (Regular Season),NEROCA vs. Mohun Bagan,x,
12/28/2018 9:50,Australia A-League (Regular Season),Melbourne Victory vs. Wellington Phoenix,x,x
12/28/2018 12:30,India I-League (Regular Season),East Bengal vs. Real Kashmir ,x,x
12/28/2018 13:10,Saudi Arabia Pro League (Regular Season),Al-Fateh vs. Al-Nassr,x,x
12/28/2018 13:55,United Arab Emirates Arabian Gulf Cup (Quarter-finals),Al Ain vs. Bani Yas,x,x
12/28/2018 14:00,Uganda Premier League (Regular Season),Express FC vs. Nyamityobora ,x,
12/28/2018 14:00,Israel Liga Leumit (Regular Season),Ashkelon vs. H. Nazareth,,x
12/28/2018 14:00,Israel Liga Leumit (Regular Season),Hap. Ramat Gan vs. Hapoel Petah Tikva,,x
12/28/2018 14:00,Israel Liga Leumit (Regular Season),Hapoel Bnei Lod vs. H. Akko,,x
12/28/2018 16:30,Saudi Arabia Pro League (Regular Season),Al Wehda vs. Al Ahli SC,,x
12/28/2018 18:00,Egypt Premier League (Regular Season),Zamalek vs. Petrojet,,x
12/28/2018 22:30,Brazil Carioca 1 (1st Round),America RJ vs. Resende,,x
12/28/2018 20:30,Wales Welsh League Division 1 (Regular Season),Briton Ferry vs. Penybont,x,